case_id,bug_type,original_bytes,original_statements,line-ddmin_status,line-ddmin_reduced_bytes,line-ddmin_cr,line-ddmin_reduced_statements,line-ddmin_stmt_cr,line-ddmin_invalid_rate,line-ddmin_tests,line-ddmin_time,statement-ddmin_status,statement-ddmin_reduced_bytes,statement-ddmin_cr,statement-ddmin_reduced_statements,statement-ddmin_stmt_cr,statement-ddmin_invalid_rate,statement-ddmin_tests,statement-ddmin_time,reducefix-sql_status,reducefix-sql_reduced_bytes,reducefix-sql_cr,reducefix-sql_reduced_statements,reducefix-sql_stmt_cr,reducefix-sql_invalid_rate,reducefix-sql_tests,reducefix-sql_time,reducefix-sql-cleanup_status,reducefix-sql-cleanup_reduced_bytes,reducefix-sql-cleanup_cr,reducefix-sql-cleanup_reduced_statements,reducefix-sql-cleanup_stmt_cr,reducefix-sql-cleanup_invalid_rate,reducefix-sql-cleanup_tests,reducefix-sql-cleanup_time,cleanup_minus_statement_cr,cleanup_minus_statement_stmt_cr,cleanup_minus_statement_tests,cleanup_minus_statement_invalid_rate
sqlancer_sqlite_102_query_with_order_by_results_in_database_disk_image_is_malformed,error,204,5,success,204,0.0,5,0.0,0.5,26,0.027864456176757812,success,204,0.0,5,0.0,0.5,26,0.027808427810668945,success,181,11.274509803921573,5,0.0,0.0,15,0.016037464141845703,success,139,31.862745098039213,4,19.999999999999996,0.2857142857142857,35,0.03835129737854004,31.862745098039213,19.999999999999996,9.0,-0.2142857142857143
sqlancer_sqlite_103_analyze_causes_distinct_to_malfunction_in_cross_join,PQS,317,7,success,308,2.8391167192429068,6,14.28571428571429,0.475,40,0.043699026107788086,success,308,2.8391167192429068,6,14.28571428571429,0.475,40,0.043408870697021484,success,257,18.927444794952685,6,14.28571428571429,0.0,24,0.02707195281982422,success,257,18.927444794952685,6,14.28571428571429,0.2692307692307692,52,0.05675935745239258,16.08832807570978,0.0,12.0,-0.20576923076923076
sqlancer_sqlite_104_query_with_distinct_does_not_fetch_all_distinct_rows,PQS,305,7,success,293,3.934426229508192,6,14.28571428571429,0.46153846153846156,39,0.041959285736083984,success,293,3.934426229508192,6,14.28571428571429,0.46153846153846156,39,0.04263138771057129,success,215,29.508196721311474,6,14.28571428571429,0.0,41,0.045690298080444336,success,215,29.508196721311474,6,14.28571428571429,0.2028985507246377,69,0.07646632194519043,25.57377049180328,0.0,30.0,-0.25863991081382387
sqlancer_sqlite_105_min_malfunctions_for_unique_column,PQS,107,3,success,107,0.0,3,0.0,0.5,12,0.012888193130493164,success,107,0.0,3,0.0,0.5,12,0.012553930282592773,success,107,0.0,3,0.0,0.0,0,7.62939453125e-05,success,107,0.0,3,0.0,0.5,12,0.012856006622314453,0.0,0.0,0.0,0.0
sqlancer_sqlite_106_min_malfunctions_for_a_query_with_isnull_condition,PQS,150,4,success,110,26.66666666666667,3,25.0,0.5,18,0.018770456314086914,success,110,26.66666666666667,3,25.0,0.5,18,0.019012451171875,success,110,26.66666666666667,3,25.0,0.0,1,0.001196146011352539,success,110,26.66666666666667,3,25.0,0.46153846153846156,13,0.014929771423339844,0.0,0.0,-5.0,-0.038461538461538436
sqlancer_sqlite_107_unexpected_affinity_conversion_in_view,PQS,162,4,success,162,0.0,4,0.0,0.5,12,0.012772083282470703,success,162,0.0,4,0.0,0.5,12,0.012969255447387695,success,162,0.0,4,0.0,0.5,4,0.004375934600830078,success,162,0.0,4,0.0,0.5,16,0.0174715518951416,0.0,0.0,4.0,0.0
sqlancer_sqlite_109_unexpected_affinity_conversion_for_view_column_in_in_operator,PQS,129,4,success,129,0.0,4,0.0,0.5,12,0.01286458969116211,success,129,0.0,4,0.0,0.5,12,0.013778448104858398,success,129,0.0,4,0.0,0.5,4,0.004980325698852539,success,129,0.0,4,0.0,0.5,16,0.01773214340209961,0.0,0.0,4.0,0.0
sqlancer_sqlite_10_problem_with_real_values_and_string_functions_used_in_indexes_or,error,132,4,success,123,6.818181818181824,3,25.0,0.45,20,0.021234750747680664,success,123,6.818181818181824,3,25.0,0.45,20,0.0210418701171875,success,132,0.0,4,0.0,0.3333333333333333,18,0.020155906677246094,success,123,6.818181818181824,3,25.0,0.39473684210526316,38,0.042222023010253906,0.0,0.0,18.0,-0.05526315789473685
sqlancer_sqlite_110_incorrect_result_for_query_that_uses_min_and_a_cast_on_rowid,PQS,215,5,success,184,14.418604651162791,4,19.999999999999996,0.5238095238095238,21,0.02316737174987793,success,184,14.418604651162791,4,19.999999999999996,0.5238095238095238,21,0.022872209548950195,success,184,14.418604651162791,4,19.999999999999996,0.42857142857142855,7,0.007792472839355469,success,184,14.418604651162791,4,19.999999999999996,0.47368421052631576,19,0.021024703979492188,0.0,0.0,-2.0,-0.05012531328320807
sqlancer_sqlite_111_constant_expression_in_partial_index_results_in_row_not_being_fe,PQS,159,4,success,103,35.22012578616353,3,25.0,0.47368421052631576,19,0.02037811279296875,success,103,35.22012578616353,3,25.0,0.47368421052631576,19,0.019636154174804688,success,103,35.22012578616353,3,25.0,0.0,1,0.0011467933654785156,success,103,35.22012578616353,3,25.0,0.46153846153846156,13,0.013622283935546875,0.0,0.0,-6.0,-0.012145748987854199
